"Horodateur","Votre genre","Votre Age ","Niveau académique","votre spécialité "," Avez-vous déjà effectué un stage   ","Êtes-vous actuellement en recherche d’emploi ?  ","Quelles sont les principales difficultés que vous rencontrez pour trouver un emploi ?  ","Dans quelle ville recherchez vous principalement un emploi ?  ","Selon vous, quelle compétence est la plus importante pour être recruté(e) ?","Pensez vous que votre formation vous a bien prépare au Marche de travail ?","Avez-vous déjà refusé une offre d’emploi ?","si oui pourquoi ?","Selon vous, quel est le salaire minimum que vous seriez prêt à accepter pour un tel emploi ? (en dh)"
"2025/05/01 11:14:56 PM UTC+1","Femme","[20;25[","Master","Informatique et science des données","Oui","Non","Manque d’expérience","Rabat","Techniques","Moyennement","Oui","Conditions de travail difficiles","6500"
"2025/05/01 11:15:59 PM UTC+1","Femme","[20;25[","Master","Mathématique","Oui","Non","Peu d’offres;Salaire faible","Rabat","Techniques","Moyennement","Non","","7000dh"
"2025/05/01 11:16:17 PM UTC+1","Homme","[20;25[","Master","Mathématique","Non","Non","Compétences non adaptées","Ben hmed","Techniques","Moyennement","Non","","10000"
"2025/05/01 11:27:25 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Non","Manque d’expérience","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","8000dh"
"2025/05/01 11:36:15 PM UTC+1","Femme","[20;25[","licence","Mathématique","Oui","Non","Peu d’offres","Salé ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Non","","6000dh"
"2025/05/01 11:37:11 PM UTC+1","Homme","[25;30[","licence","Informatique et science des données","Oui","Je suis déjà en poste","Compétences non adaptées;Salaire faible","Kenitra ","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Absence de perspectives d’évolution","15 000dh"
"2025/05/01 11:39:48 PM UTC+1","Femme","> 45","CRMEF","Français ","Oui","Je suis déjà en poste","Compétences non adaptées","Kenitra","Expériences ou stages","Moyennement","Non","","8000"
"2025/05/01 11:40:41 PM UTC+1","Femme","[20;25[","licence","Informatique et science des données","Oui","Non","Manque d’expérience","Kénitra ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Conditions salariales insuffisantes","5000dh"
"2025/05/01 11:41:34 PM UTC+1","Homme","[20;25[","CRMEF","Mathématique","Non","Non","Compétences non adaptées","El jadida","Expériences ou stages","Moyennement","Non","","7000dh"
"2025/05/01 11:42:05 PM UTC+1","Homme","[30;35[","licence","management bancaire et finance participative ","Oui","Je suis déjà en poste","Peu d’offres","sidi slimane","Expériences ou stages","Oui","Oui","Conditions salariales insuffisantes","6000 dhs "
